,Source-Only,DAN,DANN,CDAN
dog,61.787564766839374,61.917098445595855,90.15544041450777,99.35233160621762
elephant,85.54054054054055,78.24324324324324,0.0,0.6756756756756757
giraffe,55.77689243027888,75.0332005312085,0.0,7.436918990703852
guitar,96.54605263157895,94.73684210526315,4.934210526315789,66.61184210526315
horse,79.41176470588235,74.01960784313727,0.0,4.534313725490196
house,85.0,100.0,0.0,100.0
person,70.0,96.25,3.125,9.375
