,ERM (Baseline),DAN-DG,SAM
dog,61.787564766839374,69.04145077720207,37.17616580310881
elephant,85.54054054054055,75.0,91.8918918918919
giraffe,55.77689243027888,69.7211155378486,69.18990703851262
guitar,96.54605263157895,90.46052631578947,96.2171052631579
horse,79.41176470588235,54.65686274509803,82.35294117647058
house,85.0,71.25,76.25
person,70.0,73.125,79.375
