Intervention,Model,Clean Acc (%),Transformed Acc (%),Δ Acc Abs (%),Consistency (%),Stability I_T
Grayscale,RESNET50 Linear Probe,97.6,94.8,-2.799999999999997,95.20000219345093,0.7883654236793518
Grayscale,VIT_B16 Linear Probe,97.0,92.80000000000001,-4.199999999999989,94.59999799728394,0.7368936538696289
Grayscale,CLIP Linear Probe,97.2,93.2,-4.0,93.99999976158142,0.89614337682724
Grayscale,OpenCLIP ViT-B/32 Zero-Shot,75.8,73.8,-2.0,90.39999842643738,0.89614337682724
Hue Rotation (+180°),RESNET50 Linear Probe,97.6,95.0,-2.5999999999999943,95.20000219345093,0.8158755302429199
Hue Rotation (+180°),VIT_B16 Linear Probe,97.0,92.60000000000001,-4.3999999999999915,93.80000233650208,0.6870840787887573
Hue Rotation (+180°),CLIP Linear Probe,97.2,92.80000000000001,-4.3999999999999915,94.59999799728394,0.895973801612854
Hue Rotation (+180°),OpenCLIP ViT-B/32 Zero-Shot,75.8,73.4,-2.3999999999999915,90.6000018119812,0.895973801612854
